        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.20 GeV   5.033E-01  6.444E-05    1.78 m     68.33 mm    43.90 mm  
   1.30 GeV   4.977E-01  5.982E-05    1.98 m     74.12 mm    47.93 mm  
   1.40 GeV   4.933E-01  5.584E-05    2.18 m     79.61 mm    51.89 mm  
   1.50 GeV   4.899E-01  5.236E-05    2.38 m     84.83 mm    55.78 mm  
   1.60 GeV   4.873E-01  4.931E-05    2.59 m     89.82 mm    59.58 mm  
   1.70 GeV   4.852E-01  4.660E-05    2.79 m     94.59 mm    63.32 mm  
   1.80 GeV   4.837E-01  4.419E-05    3.00 m     99.17 mm    66.97 mm  
   2.00 GeV   4.817E-01  4.006E-05    3.41 m    115.49 mm    74.07 mm  
   2.25 GeV   4.808E-01  3.589E-05    3.93 m    137.19 mm    82.54 mm  
   2.50 GeV   4.810E-01  3.253E-05    4.45 m    155.95 mm    90.61 mm  
   2.75 GeV   4.819E-01  2.976E-05    4.97 m    172.65 mm    98.31 mm  
   3.00 GeV   4.833E-01  2.744E-05    5.49 m    187.82 mm   105.66 mm  
   3.25 GeV   4.851E-01  2.546E-05    6.00 m    201.77 mm   112.70 mm  
   3.50 GeV   4.870E-01  2.376E-05    6.52 m    214.72 mm   119.45 mm  
   3.75 GeV   4.891E-01  2.228E-05    7.03 m    226.85 mm   125.93 mm  
   4.00 GeV   4.913E-01  2.097E-05    7.54 m    238.27 mm   132.17 mm  
   4.50 GeV   4.957E-01  1.879E-05    8.55 m    278.39 mm   144.01 mm  
   5.00 GeV   5.001E-01  1.702E-05    9.55 m    312.84 mm   155.07 mm  
   5.50 GeV   5.045E-01  1.557E-05   10.55 m    343.35 mm   165.47 mm  
   6.00 GeV   5.087E-01  1.435E-05   11.54 m    370.91 mm   175.29 mm  
   6.50 GeV   5.128E-01  1.331E-05   12.51 m    396.17 mm   184.59 mm  
   7.00 GeV   5.167E-01  1.242E-05   13.48 m    419.56 mm   193.45 mm  
   8.00 GeV   5.239E-01  1.096E-05   15.41 m    500.27 mm   209.99 mm  
   9.00 GeV   5.306E-01  9.812E-06   17.30 m    567.96 mm   225.21 mm  
  10.00 GeV   5.367E-01  8.888E-06   19.17 m    627.05 mm   239.35 mm  
