       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.50 GeV   3.554E+02  1.244E-01    5.69 mm   220.45 um    35.74 um  
   3.75 GeV   3.379E+02  1.168E-01    6.41 mm   243.06 um    40.02 um  
   4.00 GeV   3.226E+02  1.101E-01    7.17 mm   265.76 um    44.48 um  
   4.50 GeV   2.966E+02  9.892E-02    8.78 mm   350.90 um    53.96 um  
   5.00 GeV   2.756E+02  8.986E-02   10.53 mm   429.63 um    64.12 um  
   5.50 GeV   2.582E+02  8.238E-02   12.41 mm   505.17 um    74.92 um  
   6.00 GeV   2.436E+02  7.608E-02   14.40 mm   578.88 um    86.31 um  
   6.50 GeV   2.311E+02  7.072E-02   16.51 mm   651.47 um    98.26 um  
   7.00 GeV   2.204E+02  6.608E-02   18.72 mm   723.29 um   110.71 um  
   8.00 GeV   2.027E+02  5.848E-02   23.45 mm   986.15 um   137.05 um  
   9.00 GeV   1.890E+02  5.250E-02   28.56 mm     1.22 mm   165.06 um  
  10.00 GeV   1.779E+02  4.766E-02   34.02 mm     1.45 mm   194.54 um 
